"","ID","NAME","LAT","LONG","ALT","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC"
"441","ID40260","WOODFORDS",38.78,-119.8,1753,91,80,59,26,21,16,13,18,22,37,86,81
"442","ID40261","MANZANITA-LAKE",40.53,-121.56,1753,145,126,138,83,61,38,10,23,38,84,149,138
"443","ID40578","DONNER-MEMORIAL-ST-PK",39.31,-120.23,1810,172,149,140,69,32,24,11,17,24,60,146,157
"444","ID40622","TRUCKEE-RANGER-STATION",39.33,-120.18,1827,141,119,108,54,29,20,11,14,23,47,112,125
"445","ID41099","TAHOE CITY",39.17,-120.14,1900,171.2,135.4,109.8,53.2,33,19.3,7.6,10.6,19,50.3,105.6,145
"446","ID41234","SAGEHEN-CREEK",39.43,-120.23,1932,149,137,118,52,32,21,13,20,26,61,130,123
"447","ID41389","BRIDGEPORT",38.25,-119.23,1972,40,37,27,12,15,17,12,13,16,9,28,31
"448","ID41641","GRANT-GROVE",36.73,-118.96,2012,204,169,170,94,30,9,3,4,33,47,132,157
"449","ID41886","BIG-BEAR-LAKE",34.25,-116.88,2070,102,95,90,39,15,3,21,25,16,17,65,88
"450","ID41963","BIG-PINES-PARK-FC-83B",34.38,-117.68,2092,119,125,105,51,16,3,7,18,22,17,79,101
"451","ID42173","HUNTINGTON-LAKE",37.23,-119.21,2140,165,160,151,84,32,9,5,6,28,48,117,132
"452","ID42992","TWIN-LAKES",38.7,-120.03,2438,210,173,169,104,52,29,15,24,35,72,183,191
"453","ID43093","BISHOP-CREEK-INTAKE-2",37.25,-118.58,2485,57,42,33,21,15,11,11,15,17,12,37,45
"454","ID43574","GEM-LAKE",37.75,-119.13,2734,86,70,71,41,19,15,16,19,23,24,70,77
"455","ID43616","LAKE-SABRINA",37.21,-118.61,2763,75,59,51,33,16,10,11,12,20,18,50,58
"456","ID43770","ELLERY-LAKE",37.93,-119.23,2940,110,85,77,40,23,16,21,20,23,35,91,96
